user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age,cancellation_rate,session_per_user,n_booking,trip_distance,trip_seats,overcarrier,session_duration,time_to_flight,discount,customer_value
152583,1986-07-26,F,,,usa,colorado springs,COS,38.806,-104.7,2022-04-17,36,0.0,8,1.0,2178.7890384550965,1.0,2.0,3.5833333333333335,8.682233796296297,0.0,793.8299999999999
228872,1989-03-22,M,,,usa,san antonio,RND,29.529,-98.279,2022-06-27,33,0.0,8,2.0,2770.218959444619,1.0,1.0,3.666666666666667,5.359780092592593,0.0,898.605
359653,1968-12-26,M,,,canada,victoria,YYJ,48.647,-123.426,2022-10-12,54,0.0,8,2.0,2238.5998423301303,1.0,1.0,3.3166666666666664,7.001863425925926,0.5,716.7650000000001
371201,1996-01-16,M,,1.0,usa,new york,JFK,40.64,-73.779,2022-10-20,26,0.0,8,1.0,1067.2670811308597,1.0,3.0,2.05,8.687465277777777,0.0,199.47
374340,1989-06-26,F,1.0,,usa,new york,LGA,40.777,-73.872,2022-10-22,33,0.0,9,1.0,11011.278068932796,2.0,0.5,1.9333333333333333,336.6160185185185,1.0,7932.38
380436,1979-11-04,F,,,usa,new york,LGA,40.777,-73.872,2022-10-26,43,0.0,8,1.0,567.2430413127438,1.0,1.0,2.15,9.858923611111111,1.0,707.25
381259,2002-12-04,F,,1.0,usa,san diego,SAN,32.733,-117.189,2022-10-26,20,0.0,8,1.0,3654.797339704525,1.0,1.0,2.466666666666667,5.889259259259259,0.0,787.48
400899,1978-09-18,F,1.0,,canada,quebec,YQB,46.788,-71.398,2022-11-08,44,0.0,8,3.0,1813.085814079296,1.3333333333333333,0.5,5.3,5.969467592592593,0.0,1203.92
421247,1981-12-20,F,1.0,1.0,usa,memphis,MEM,35.042,-89.977,2022-11-19,41,0.0,8,4.0,1051.7332717115833,1.0,0.5,2.9333333333333336,6.977824074074074,0.5,574.1225
426478,1998-08-23,F,,,canada,hamilton,YHM,43.173,-79.935,2022-11-22,24,0.3333333333333333,8,3.0,,,,2.466666666666667,,1.0,963.9
434623,1989-07-20,F,,,canada,montreal,YHU,45.517,-73.417,2022-11-26,33,0.2,8,5.0,2183.168821049027,1.0,0.3333333333333333,2.8388888888888886,6.82210262345679,0.3333333333333333,674.9823333333334
457967,2003-07-08,F,,,usa,colorado springs,COS,38.806,-104.7,2022-12-09,19,,8,,,,,,,,
464597,1964-12-03,F,1.0,1.0,usa,richmond,RIC,37.505,-77.319,2022-12-12,58,0.0,8,1.0,,,,1.35,,0.0,6129.0
464673,1974-07-12,M,1.0,1.0,usa,louisville,LOU,38.228,-85.664,2022-12-12,48,0.0,8,4.0,1579.6964979768647,2.0,0.5555555555555555,2.458333333333333,7.914293981481482,0.25,1696.361375
471973,1987-11-28,F,,1.0,usa,sacramento,MHR,38.554,-121.297,2022-12-16,35,,8,,,,,,,,
473712,1978-07-15,F,,,usa,chicago,ORD,41.979,-87.904,2022-12-17,44,0.0,8,6.0,1752.8554091496185,1.0,0.4,2.986111111111111,6.649134259259259,0.16666666666666666,710.86625
476393,1972-07-10,F,1.0,,canada,calgary,YYC,51.114,-114.02,2022-12-18,50,0.0,8,2.0,2609.6110309421542,1.0,0.5,2.7666666666666666,7.107106481481482,0.0,673.665
481245,1977-06-25,F,,,usa,new york,LGA,40.777,-73.872,2022-12-20,45,0.0,9,2.0,2575.034233435159,1.0,0.0,3.25,7.715104166666666,0.5,794.5675
482630,1993-10-03,F,,,canada,toronto,YTZ,43.627,-79.396,2022-12-21,29,0.0,8,2.0,1828.401345996852,1.0,0.5,2.9916666666666667,7.353478009259259,0.0,459.19
483480,1985-02-12,M,1.0,1.0,canada,toronto,YTZ,43.627,-79.396,2022-12-22,37,0.0,8,5.0,1712.9586136501882,1.0,0.6666666666666666,2.1533333333333333,5.7455092592592605,0.2,609.586
485518,1996-09-12,F,,,usa,brownsville,BRO,25.907,-97.426,2022-12-23,26,,8,,,,,,,,
486046,1950-10-13,F,1.0,,canada,montreal,YMX,45.68,-74.039,2022-12-23,72,0.0,8,1.0,,,,1.5166666666666666,,1.0,1056.0
486270,1996-01-04,F,,,canada,victoria,YYJ,48.647,-123.426,2022-12-23,27,0.0,8,3.0,3355.436958004626,1.0,0.5,4.111111111111112,8.098877314814814,0.3333333333333333,1013.0033333333334
487680,1974-02-14,F,1.0,1.0,canada,montreal,YHU,45.517,-73.417,2022-12-24,48,0.25,9,4.0,3850.440314392637,1.5,0.5,3.4833333333333334,8.326053240740741,0.0,1735.11
489852,1973-12-03,F,1.0,,usa,santa ana,SNA,33.676,-117.868,2022-12-25,49,0.0,8,2.0,1906.1643483017554,2.0,0.5,3.1416666666666666,8.626076388888889,0.0,1960.53
490040,1978-06-24,F,1.0,,usa,riverside,RIV,33.881,-117.259,2022-12-25,44,0.0,8,3.0,3405.699690837113,1.6666666666666667,0.0,2.738888888888889,6.636986882716049,0.3333333333333333,3063.026
490671,1987-10-25,F,,1.0,usa,indianapolis,IND,39.717,-86.294,2022-12-25,35,0.0,9,4.0,826.060781288346,1.0,1.0,3.5583333333333336,5.620966435185185,0.25,755.9425
494382,1984-10-05,F,,1.0,canada,ottawa,YOW,45.323,-75.669,2022-12-27,38,0.0,8,5.0,977.9538187496986,1.5,0.08333333333333333,2.776666666666667,9.696241319444445,0.2,833.064
495042,1976-01-03,F,1.0,,usa,los angeles,LAX,33.942,-118.408,2022-12-27,47,0.0,8,5.0,3051.3176053307207,1.0,0.25,3.12,6.986574074074074,0.4,996.615
495273,1993-07-06,F,,,canada,edmonton,YXD,53.573,-113.521,2022-12-27,29,0.0,8,6.0,2287.168920487755,1.25,1.125,2.9694444444444446,6.569710648148148,0.3333333333333333,1574.4016666666666
496286,1983-12-06,M,,,usa,seattle,BFI,47.53,-122.302,2022-12-28,39,0.0,8,3.0,2622.852887310766,1.6666666666666667,0.7777777777777777,2.588888888888889,6.153063271604938,0.0,2297.723333333334
496382,1981-04-07,F,,,usa,louisville,LOU,38.228,-85.664,2022-12-28,41,0.0,8,4.0,1286.9506969327397,1.5,1.0,2.0125,8.943567708333333,0.5,726.033375
496408,1980-01-05,F,,,usa,fresno,FAT,36.776,-119.718,2022-12-28,43,0.16666666666666666,10,6.0,2026.0114058088216,1.0,0.75,2.5375,5.730355902777777,0.0,471.2375
498298,2006-06-20,F,,,usa,fort worth,FTW,32.82,-97.362,2022-12-29,16,0.0,8,3.0,1668.441774757359,1.0,2.0,2.8666666666666667,6.680416666666667,0.3333333333333333,1710.0166666666667
499990,1986-12-14,F,,,usa,new york,LGA,40.777,-73.872,2022-12-30,36,0.25,8,4.0,4033.1791773444165,2.0,0.5,3.875,8.587586805555555,0.5,4461.15
500196,1972-01-13,F,1.0,,canada,calgary,YYC,51.114,-114.02,2022-12-30,51,0.0,8,2.0,2407.6836727301406,1.5,0.5,3.4000000000000004,7.897638888888889,0.0,1345.145
500243,1999-04-11,F,,,usa,philadelphia,PHL,39.872,-75.241,2022-12-30,23,0.0,9,1.0,943.8802340490258,1.0,0.0,2.216666666666667,7.165127314814815,0.0,384.6
501735,1990-06-18,F,,,usa,new york,JFK,40.64,-73.779,2022-12-31,32,0.0,8,3.0,1745.6372346852577,1.0,1.0,3.0888888888888886,7.791373456790123,0.0,409.02666666666664
501794,1980-10-23,F,1.0,,usa,nashville,BNA,36.124,-86.678,2022-12-31,42,0.0,8,4.0,1086.3279922125123,1.0,0.75,3.779166666666667,6.128972800925926,0.25,633.3625
502847,1973-08-09,F,1.0,,usa,grand rapids,GRR,42.881,-85.523,2022-12-31,49,0.0,8,5.0,1495.9672832501565,1.0,0.5,2.87,5.433758680555556,0.0,630.3779999999999
503049,1952-07-08,F,,,usa,omaha,OMA,41.302,-95.894,2023-01-01,70,,8,,,,,,,,
503126,1998-07-28,F,,,canada,edmonton,YXD,53.573,-113.521,2023-01-01,24,0.0,8,1.0,,,,4.416666666666667,,0.0,2592.0
504579,1955-05-27,F,,,usa,phoenix,LUF,33.535,-112.383,2023-01-01,67,,8,,,,,,,,
505667,1970-02-13,F,1.0,,usa,san francisco,SFO,37.619,-122.375,2023-01-02,52,0.0,8,3.0,1795.0691527701053,1.0,0.0,2.538888888888889,3.9017091049382717,0.0,898.98
506130,1983-08-07,F,,,usa,phoenix,PHX,33.434,-112.008,2023-01-02,39,0.0,11,4.0,3539.1606123414504,1.0,0.5,3.5875000000000004,5.217300347222222,0.5,1212.163
506427,1975-10-07,F,1.0,1.0,usa,dallas,DAL,32.847,-96.852,2023-01-02,47,0.0,8,5.0,1000.6631290689227,1.0,1.0,3.54,7.659105902777778,0.2,619.3
507273,1992-12-11,F,,,usa,columbus,LCK,39.814,-82.928,2023-01-03,30,0.0,8,4.0,2150.9753208587367,1.0,0.5,3.0791666666666666,6.277896412037037,0.25,487.4925
507753,1999-09-09,F,,1.0,usa,nashville,BNA,36.124,-86.678,2023-01-03,23,0.0,8,1.0,1229.7711374054752,1.0,1.0,2.0833333333333335,5.465914351851852,0.0,1892.1100000000001
507759,1975-03-20,F,1.0,,canada,victoria,YYJ,48.647,-123.426,2023-01-03,47,0.0,8,3.0,1474.7351345510788,1.0,0.6666666666666666,2.744444444444445,8.600871913580248,0.6666666666666666,460.18266666666676
508111,1984-03-24,F,1.0,1.0,usa,fort worth,FTW,32.82,-97.362,2023-01-03,38,1.0,8,1.0,,,,,,,
509282,1987-01-09,F,,,usa,seattle,SEA,47.449,-122.309,2023-01-04,36,0.0,8,3.0,3395.837645512256,1.0,1.0,1.9222222222222223,11.408206018518518,0.3333333333333333,914.5213333333332
510198,1992-01-13,F,,,usa,new york,JFK,40.64,-73.779,2023-01-04,31,0.0,8,2.0,1430.0058524562,1.0,0.5,2.2666666666666666,9.152939814814815,0.5,645.373
510570,1980-04-16,F,,,usa,new york,JFK,40.64,-73.779,2023-01-04,42,0.0,8,4.0,2264.9836390513265,1.0,0.5,2.2666666666666666,4.851458333333333,0.25,1302.26
511178,1986-06-04,F,,,usa,new york,LGA,40.777,-73.872,2023-01-05,36,0.0,8,4.0,2264.7062841218785,1.0,0.6666666666666666,2.8625,7.53420524691358,0.5,529.589
511223,1978-12-13,F,1.0,1.0,canada,ottawa,YOW,45.323,-75.669,2023-01-05,44,0.2,10,5.0,1635.7339142503106,1.0,1.3333333333333333,2.316666666666667,5.665520833333333,0.3333333333333333,463.1666666666667
511455,1987-05-20,F,,,canada,montreal,YMX,45.68,-74.039,2023-01-05,35,0.0,8,3.0,2933.267695606033,1.0,0.6666666666666666,2.8833333333333333,7.059108796296297,0.3333333333333333,622.7933333333333
511542,1970-01-12,F,,,usa,los angeles,LAX,33.942,-118.408,2023-01-05,53,0.0,8,3.0,3602.6124632603182,1.6666666666666667,0.4444444444444444,3.077777777777778,8.695547839506172,0.3333333333333333,2345.9173333333333
511570,1972-09-10,F,1.0,1.0,canada,ottawa,YOW,45.323,-75.669,2023-01-05,50,0.0,8,3.0,3600.000475963455,1.0,0.0,4.8388888888888895,12.661186342592593,0.0,2483.69
511589,1982-09-23,F,,,canada,calgary,YYC,51.114,-114.02,2023-01-05,40,0.0,8,1.0,,,,1.4666666666666666,,1.0,307.8
511697,1984-08-24,F,,,usa,detroit,DTW,42.212,-83.353,2023-01-05,38,0.0,8,4.0,1052.8633115568887,1.0,0.5,2.4333333333333336,7.631469907407408,0.25,634.1175
512249,2004-06-08,F,,,usa,columbus,LCK,39.814,-82.928,2023-01-05,18,,8,,,,,,,,
512302,1977-02-06,F,1.0,1.0,usa,atlanta,ATL,33.64,-84.427,2023-01-05,45,0.0,8,4.0,967.3637906092999,1.0,0.3333333333333333,2.125,11.48048611111111,0.25,272.5925
512303,1974-03-10,F,,1.0,usa,denver,DEN,39.858,-104.667,2023-01-05,48,0.0,8,4.0,1676.4037109170833,2.0,0.3333333333333333,2.6,6.387013888888888,0.75,1305.3375
512329,1987-09-12,F,1.0,,canada,hamilton,YHM,43.173,-79.935,2023-01-05,35,0.0,8,6.0,926.8045999026032,1.0,0.0,2.5805555555555557,8.074365354938271,0.5,437.42883333333333
512443,1985-04-15,F,1.0,1.0,usa,new york,JFK,40.64,-73.779,2023-01-05,37,0.0,8,2.0,858.7577137721582,1.0,0.5,2.7583333333333333,6.442876157407408,0.5,496.87000000000006
512598,1986-04-05,M,,,usa,chicago,UGN,42.422,-87.868,2023-01-05,36,0.0,8,5.0,1273.251249083557,1.2,0.6,3.7599999999999993,8.998222222222221,0.0,767.4179999999999
512610,1983-11-02,F,,,usa,las vegas,LAS,36.08,-115.152,2023-01-05,39,0.0,9,6.0,1892.4038108881139,1.1666666666666667,0.5,2.775,5.838119212962963,0.16666666666666666,766.2425
512623,1999-08-16,F,,,usa,columbus,CMH,39.998,-82.892,2023-01-05,23,,8,,,,,,,,
513216,1986-01-01,F,1.0,,usa,new york,JFK,40.64,-73.779,2023-01-06,37,0.0,9,4.0,1599.3383203885855,1.0,0.5,3.004166666666667,6.773260995370371,0.5,665.8115
513366,1979-10-26,F,,,canada,montreal,YUL,45.468,-73.741,2023-01-06,43,0.0,8,3.0,1424.6767511925555,1.0,0.3333333333333333,3.422222222222222,7.918225308641976,0.3333333333333333,1136.3233333333335
513917,1968-04-18,F,1.0,1.0,usa,philadelphia,PHL,39.872,-75.241,2023-01-06,54,0.0,8,3.0,3387.756874968853,1.0,0.6666666666666666,2.8833333333333333,8.60980324074074,0.3333333333333333,1374.1066666666666
514076,1966-09-06,F,1.0,1.0,usa,new york,JFK,40.64,-73.779,2023-01-06,56,0.0,9,2.0,543.0923380648386,1.0,1.0,1.8499999999999999,7.3914583333333335,0.0,2740.415
514275,1993-06-16,F,,,canada,montreal,YMX,45.68,-74.039,2023-01-06,29,0.0,8,3.0,1745.4283431756346,1.5,0.25,3.361111111111111,5.516412037037037,0.0,1185.3766666666668
514810,1991-07-28,M,,1.0,usa,nashville,BNA,36.124,-86.678,2023-01-07,31,0.0,8,3.0,400.9394697701209,1.0,0.0,2.0833333333333335,8.353333333333333,0.6666666666666666,1462.1153333333332
514926,1995-05-22,F,,,canada,halifax,YHZ,44.881,-63.509,2023-01-07,27,0.0,8,3.0,2327.4256931731425,1.0,0.0,2.111111111111111,7.947228009259259,0.0,757.7833333333333
515030,1990-05-24,M,,,usa,fort worth,FTW,32.82,-97.362,2023-01-07,32,0.0,8,1.0,47.7445088583768,1.0,0.0,3.3333333333333335,3.024074074074074,0.0,1490.17
515941,1976-10-25,F,1.0,1.0,usa,st. petersburg,PIE,27.911,-82.687,2023-01-07,46,0.0,8,4.0,3454.711314393201,1.0,0.5,3.020833333333333,8.072222222222223,0.0,1296.81
516004,1973-03-20,F,1.0,1.0,usa,san francisco,SFO,37.619,-122.375,2023-01-07,49,0.0,9,2.0,4099.763893604998,1.0,0.5,2.275,8.028281250000001,0.0,889.555
516176,1972-12-10,O,,1.0,usa,new york,JFK,40.64,-73.779,2023-01-07,50,0.0,8,4.0,998.8784405876578,1.0,0.25,3.8666666666666667,9.927696759259259,0.0,517.1025
516246,1986-02-15,F,,,usa,austin,AUS,30.194,-97.67,2023-01-07,36,0.0,9,4.0,2094.6874669566264,1.0,0.75,3.55,6.151701388888888,0.5,651.858875
516933,2006-09-09,F,,,usa,new york,LGA,40.777,-73.872,2023-01-08,16,0.0,8,3.0,3333.2432161970282,1.0,0.0,2.0833333333333335,6.290914351851852,0.0,559.0600000000001
517131,1955-11-02,F,1.0,,usa,los angeles,LAX,33.942,-118.408,2023-01-08,67,0.25,8,4.0,,,,2.0666666666666664,,0.0,525.0
517219,2001-09-13,F,,,usa,boston,BOS,42.364,-71.005,2023-01-08,21,,8,,,,,,,,
517284,1979-09-03,F,1.0,1.0,usa,san antonio,SAT,29.534,-98.47,2023-01-08,43,0.0,9,5.0,3629.7960653142345,1.5,0.16666666666666666,2.6733333333333333,82.30037905092593,0.2,3189.7120000000004
517370,1983-02-15,F,1.0,,usa,new york,LGA,40.777,-73.872,2023-01-08,39,0.0,8,3.0,2106.561798151326,1.0,1.5,2.1888888888888887,7.653101851851852,0.0,893.5766666666667
517397,1988-05-08,F,,,usa,riverside,RAL,33.952,-117.445,2023-01-08,34,0.0,8,5.0,1684.4517512718837,1.0,0.4,3.1233333333333335,8.517969907407409,0.2,684.9739999999999
517445,1983-06-03,F,1.0,,usa,st. petersburg,PIE,27.911,-82.687,2023-01-08,39,0.0,9,3.0,1463.8616619492436,1.0,1.0,3.722222222222222,5.5765625,0.0,2295.66
518219,1997-10-19,F,,,usa,columbus,LCK,39.814,-82.928,2023-01-08,25,0.0,8,3.0,1871.6014439457715,1.0,0.3333333333333333,2.722222222222222,6.465239197530864,0.3333333333333333,507.24666666666667
518324,1984-01-12,F,,,usa,norfolk,NGU,36.938,-76.289,2023-01-08,39,0.0,8,5.0,1058.829679924876,1.2,0.4,3.616666666666667,6.908877314814815,0.2,464.0536
518954,1987-09-25,F,1.0,1.0,usa,new york,LGA,40.777,-73.872,2023-01-09,35,0.0,8,3.0,2157.3275458399694,1.0,0.3333333333333333,2.983333333333333,7.262280092592593,0.3333333333333333,652.7533333333334
519096,1990-10-28,F,,1.0,usa,tampa,MCF,27.849,-82.521,2023-01-09,32,0.0,8,2.0,1423.0136068621102,1.0,0.0,3.2666666666666666,8.69113425925926,1.0,628.3064999999999
519114,1985-02-13,F,,1.0,usa,san antonio,RND,29.529,-98.279,2023-01-09,37,0.0,8,3.0,2364.4401164691326,1.0,0.3333333333333333,2.7055555555555557,7.899278549382717,0.3333333333333333,1114.1426666666666
519626,1977-02-16,M,,1.0,usa,cleveland,CLE,41.412,-81.85,2023-01-09,45,0.0,8,3.0,1203.878093396929,1.0,0.3333333333333333,4.411111111111111,6.139760802469136,0.0,712.8266666666667
519774,1969-08-17,F,,1.0,usa,las vegas,LAS,36.08,-115.152,2023-01-09,53,0.0,8,3.0,1957.656542396098,1.0,1.0,2.9500000000000006,7.731863425925926,0.3333333333333333,858.7933333333334
520175,1971-12-13,F,,,usa,atlanta,ATL,33.64,-84.427,2023-01-09,51,0.0,8,3.0,1644.5912098673662,1.0,0.6666666666666666,4.416666666666667,7.510358796296297,0.3333333333333333,577.6823333333333
520177,1970-03-28,F,1.0,,usa,nashville,BNA,36.124,-86.678,2023-01-09,52,0.0,10,6.0,1301.8977214404645,1.0,0.4,3.777777777777778,7.438590277777777,0.16666666666666666,592.6750000000001
